movie,director,music,cast,plot_excerpt
Vasantha Maligai,[[K. S. Prakash Rao]],[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[Vanisri]],"Anand is a rich [[Playboy lifestyle|playboy]] and an alcoholic. Aboard an aeroplane, he meets Latha, an air hostess. Latha lives with her father, mother, two brothers, and a sister. Her elder brother resides at home with his wife, but Latha is the highest earning member of the family. Latha's mother objects to her being an air hostess; she begs her to change profession so that she can be home at more decent hours.

While Anand is celebrating his birthday in a pub near his home, Latha arrives at the same pub for a job interview with the manager. However, the lustful manager, in the guise of interviewing her, tries to rape her. Anand hears Latha screaming, subdues the manager, rescues Latha, then drives her home. The next day, Latha goes to Anand's house to return the coat he had lent her the night before. She then asks him for a job, to which he agrees, hiring her as his secretary.

The next day Anand shows her around his house, and she meets his mother, elder brother Vijay, and sister-in-law. Latha soon notices that Anand is an alcoholic, and therefore wishes to resign, but a servant begs her not to because Anand's behaviour has changed for the better since meeting her.

Anand's fiancée comes to his home and starts ranting that she no longer wishes to marry him because he is an alcoholic. Meanwhile, his sister-in-law, who concludes that Latha has come to steal Anand's affections, disturbs his mother with these comments. Latha, however, assures the mother, after everyone has left the table, that she will, in fact, try and stop Anand from drinking. Later on, she catches him drinking with his servant Panchavarnam. His servant runs away upon seeing her, but Anand continues to drink. Latha throws the glass after arguing with him, infuriating Anand into throwing a glass bottle onto her forehead.

When Anand realises what he has done, he destroys all his bottles, promising Latha that he will never drink again. He confides in her the anguish of his soul, how when he was young both his father and his Ayya died. After this transformative incident, he announces that he is going to build a new palace for himself and the girl that he truly loves. He will call the palace ""Vasantha Maligai"" (palace of spring).

Anand brings Latha to this new house; everyone in his family goads Latha to find out who this mysterious woman is. Latha, too, is curious to meet the girl of Anand's heart. He then shows her her own reflection in a separate room revealing that she is the girl of his affections. However, Vijay witnesses this and runs to tell his mother. He conjures up a story about Latha having stolen his wife's jewellery. Hearing this, Anand becomes suspicious of Latha. He asks Latha about it, but she runs away, dejected that he could suspect her of such wrongdoing. Fortunately, Anand learns about Vijay's malicious plan.

Anand confesses his ignorance and apologises. But Latha does not forgive him. Anand loses his composure and becomes seriously ill. Meanwhile, Latha receives a marriage proposal. Anand's mother goes to apologise to Latha while Latha hands her an invitation to her wedding. Anand's mother shows this to her son, who then decides to attend the wedding. Latha is shocked to see him. She meets him privately to reconcile their differences, but her sister-in-law and the groom's mother spot them and announce it to the guests who depart, botching Latha's marriage. All of a sudden, Anand's mother enters the room and declares that Latha should marry Anand. When Latha arrives at the palace, she is shocked to see Anand's condition. She does not know that, out of desperation and lovesickness, he drank poison. As soon as Latha enters the room he collapses. Anand is hospitalised and after recovering, he re-unites with Latha."
Anbe Aaruyire (1975 film),[[A. C. Tirulokchandar]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Manjula Vijayakumar|Manjula]],"{{more plot|date=May 2022}}
R. Sattanathan, a leading criminal lawyer and Bangalore Ramaswamy, his professional competitor, were once friends but now enemies. Sattanathan has vowed that he will win a case against Ramaswamy at least once in his lifetime, for which he even makes his son Saravanan study law, so that if not him at least his son will defeat Ramaswamy. But contrary to Sattanathan's expectation, Saravanan falls in love with Ramaswamy's daughter Devi. Helping them in their love is Ramesh, Ramaswamy's nephew. A lot of hilarious incidents and confusions follow before the lovers are united."
Manohara (film),[[L. V. Prasad]],{{ubl|[[S. V. Venkatraman]]|T. R. Ramanathan}},{{ubl|[[Sivaji Ganesan]]|[[T. R. Rajakumari]]|[[P. Kannamba]]|[[Girija (actress)|Girija]]}},"Kesarivarman, an artiste, comes to the court of king Purushothaman, along with his wife Vasanthasenai to perform. The king falls in love with her. To get rid of her husband and be with the king, Vasanthasenai mixes poison in Kesari's milk. Kesari dies, but returns as an invisible man with the help of a sage. He seeks revenge. Though Purushothaman is already married to queen Padmavathi and has a son Manoharan alias Manohara, king Purushothaman becomes attracted to Vasanthasenai and starts living with her.

Padmavathi becomes angry with the king, and vows never to see him again till he separates from Vasanthasenai. Vasanthasenai, pregnant with Kesari's child, convinces Purushothaman the child belongs to him. The child is born and named Vasanthan. Years roll by and Vasanthasenai influences Purushothaman in every decision, which annoys Manoharan. Manoharan respects his mother and never violates her orders. Padmavathi makes him promise that he would never harm Vasanthasenai as such an act would affect her husband's happiness. She orders him to restore the honour of their kingdom by retrieving the prestigious throne which was seized by king Muthuvijayan.

Manohara and his friend Rajapriyan attack the kingdom of Muthuvijayan; not only does he get the throne back, he also falls for Muthuvijayan's daughter Vijaya, who tries to kill him to protect the country's honour. He marries her and returns to his kingdom with her. Manoharan becomes upset on seeing that instead of his mother, Vasanthasenai is accompanying the king to the prestigious throne. When he accuses her, she abuses his mother, prompting him to raise his hand to attack her. However, remembering his promise, he stops.

Purushothaman, angry on seeing Manoharan's act, orders him to apologise. Manoharan refused and is sentenced to death by King Purusothaman. Even his mother's pleas to the king fail. Vasanthasenai also hatches a conspiracy, and gets Padmavathi and Vijaya imprisoned on false charges. When Manoharan is taken in a chariot for his death sentence, the invisible Kesari saves him. Manoharan, with the help of the minister Sathyaseelar and Rajapriyan, re-enters the palace disguised as a messenger Atchayan and works under Vasanthasenai.

Ukrasenan, an opponent of Purushothaman, enters the palace disguised as a sage, on the invitation of Vasanthasenai. Manoharan, still disguised, makes Purushothaman see Vasanthasenai and Ukrasenan in a compromising position in the bedroom; when Purushothaman questions her, she imprisons him too. Purushothaman realises his mistakes and feels regret. Vijaya delivers a child in prison. Vasanthasenai orders that the child be brought to the Court and killed. ""Atchayan"", in his anxiety to see his newborn, visits the prison. Meanwhile, the real Atchayan escapes and meets Ukrasenan. They understand the truth and come rushing to the prison to see the disguised Manoharan with his child. He is arrested and brought to court.

Vasanthasenai tries to kill Manoharan's child despite Padmavathi's pleas. When Padmavathi explains to Vasanthasenai why she had been patient all along, Vasanthasenai does not understand and slaps her. Enraged, Padmavathi decides it is enough of patience and time to respond, and advises Manohara to restore the honour of the family. Though he is chained to a wall, his mother's words make him powerful enough to break free and a fight ensues. Manoharan, Sathyaseelar, Rajapriyan and their army attack the queen's army and all the enemies are eliminated. Kesari comes to Manoharan's help in the process. When Vasanthasenai kills Vasanthan, she is taken by Kesari for the ultimate punishment in his hideout. Purushothaman is released and unites with his family."
School Master (1964 film),[[Puttanna Kanagal|S. R. Puttanna Kanagal]],[[G. Devarajan]],{{ubl|[[Prem Nazir]]|[[K. Balaji]]|[[Ragini (actress)|Ragini]]|[[Thikkurissy Sukumaran Nair]]}},"{{more plot|date=August 2021}}
The film revolves about an old school master and his noble attempt to transform the students of his native village."
Kathavarayan (1958 film),[[T. R. Ramanna]],[[G. Ramanathan]],[[Sivaji Ganesan]]<br />[[Savitri (actress)|Savitri]],"{{more plot|date=June 2022}}
Due to a quarrel between Lord Shiva and Shakti, Shakti and her son Veerabahu are cursed to be born on Earth and live as mortals. Veerabahu is Kathavarayan whom the tribals adopt and he becomes the prince of the mountains. Kathavarayan grows up and goes on a world tour, his mother Shakti blesses him with the divine power of transforming into any form he wishes when he is in danger. During his quests Kathavarayan falls in love with Princess Aryamala. Aryamala is reborn to a Rajaguru who predicts a tragic life for her, but the King adopts her and names her Aryamala. But the King is against their love. Kathavarayan is arrested by the King and taken to be impaled when Shakti prays to Shiva who saves him. Kaathavarayan and Aryamala live happily thereafter."
1982,Error,Error,Error,Error
Mudhal Kural,[[V. C. Guhanathan]],[[Chandrabose (composer)|Chandrabose]],[[Sivaji Ganesan]]<br />[[Arjun Sarja]]<br />[[Kanaka (actress)|Kanaka]],"{{long plot|date=November 2021}} <!--per [[WP:FILMPLOT]], plot summaries should be between 400 and 700 words-->
Veluthambi, a popular rebel in Puliyampatti constituency, is considered a threat a threat by the ruling party, particularly by senior leader and minister Mohanamba (Mohana), who plans to contest the upcoming election from the same seat. Mohana's attempts to remove him from the political scene are unsuccessful. Her relative, ""Salpatta"" Vasu, a wealthy businessman, hires henchmen to eliminate Veluthambi and his comrades.  Although Veluthambi manages to fend off the henchmen, his comrades are burned alive in a hut.  Later, the local police inspector, who colludes with the attackers, shoots Veluthambi dead, leading to widespread outrage among the public.

Jeeva, a senior journalist from ''Dina Madal'', begins investigating Veluthambi's murder to expose the truth. Mohana tries to suppress Jeeva's efforts but fails. Subsequently, Jeeva is dismissed from his job at ''Dina Madal'' but joins another newspaper to continue his work. His reports lead to threats from Vasu's men, who attack Jeeva's home. Jeeva's son, Kumaran, intervenes and repels the attackers.

Kumaran, a third-year [[Bachelor of Arts|B.A.]] [[English Literature]] student, romantically involved with Vasu’s daughter, Vaani. Upon discovering Vasu’s role in the attack on Jeeva, Kumaran distances himself from her. Vaani visits Jeeva under the pretense of learning journalism, and Jeeva agrees to mentor her. Believing their relationship would endanger his father, Kumaran sends Vaani away. Jeeva attempts to seek Vasu’s approval for their relationship, but Vasu insults him and arranges a marriage for Vaani. Vasu confines her, but Kumaran rescues her, and they marry in a temple.

Jeeva is fired from his new job after his reporting implicates Mohana in Veluthambi's murder. Realizing Vasu's has bought this newsagency, he vows to expose both Vasu and Mohana.

Rekha, another tenant, shows interest in Karan, a fellow resident. While traveling to meet her mother, Rekha is abducted by Vasu's men, but she escapes. During her escape, she encounters Karan. Tragically she falls off a cliff while fleeing from one of Vasu's henchmen, despite Karan's attempts to save her. 

Rekha, another tenant, shows interest in Karan, a fellow resident. While traveling to meet her mother, Rekha is abducted by Vasu’s men, but she escapes. During her escape, she encounters Karan. Tragically, she falls off a cliff while fleeing, despite Karan’s attempt to save her.

Jeeva files a lawsuit against Mohana for Veluthambi's murder, and the case is brought to court. Vasu arranges for a bomb to be planted in Jeeva's car, intending to kill him before he can reach the courthouse. However, Jeeva forgets the crucial audiotape evidence, and his wife asks Kumaran to deliver it to him.  Kumaran, along with Karan, catches up with Jeeva’s car, but when the bomb explodes, Kumaran is killed. Devastated, Jeeva allows Vaani to keep Kumaran’s ashes instead of dispersing them as per custom.

The police claims Kumaran's death was accidental. karan, captures two of the perpetrators and brings them to Jeeva, urging him to expose the truth. Jeeva, disillusioned by systematic corruption, initially refuses but is reinvigorated by Karan’s determination. Together, they establish a new newspaper, ''Mudhal Kural'', to challenge the establishment.

As Vaani and Karan go out together, Vasu spots them. He becomes angry and confronts Jeeva, accusing him of misleading Vaani. Both Vaani and Jeeva cold shoulder him. Jeeva tries to bring Vaani in marriage with Karan. But Vaani appears in traditional widow's garb before Jeeva, his wife, and Karan's younger paternal uncle and aunt as they discuss the marriage. She fears that her ties with Jeeva and his wife will be severed if she remarries. The couple accept her decision with grief.

Vaani and Karan secretly record a conversation between Vasu and Mohana, revealing a ship scam. Vasu's men chase them, but they escape. Vinoth, their companion, takes only the camera as a distraction for Vasu's men and asks Vaani and Karan to bring the tape to Jeeva. '''Vinoth''' arrives at Jeeva’s office with bullet wounds, explaining that he allowed himself to be captured while Vaani and Karan fled into the forest. He urges Jeeva to save them. Jeeva approaches the inspector, who directs him to Mohana.  Jeeva confronts her, offering to destroy the evidence in exchange for Vaani and Karan’s safety. Mohana mocks him and tells him to bring a petition. After a tense exchange, she orders her men to assault him.

Meanwhile, Vaani and Karan are captured by more henchmen, who torture them for the tape's location. While recovering in the hospital, Jeeva learns that his office was set on fire, and his wife is killed. He seeks out the inspector and kills him in retaliation. In the forest, Vaani manages to escape and attempts to rescue Karan from his torturers. She falls into the water, but Karan saves her, urging her to get the tape to the court. Jeeva calls ''Dina Madal'' from a phone booth and informs the sub-editor that, due to his ongoing confrontation with Mohana, he must remain undercover. This message is later published in the paper.

Mohana's partymen invite her for a wedding, and despite fearing Jeeva’s retaliation, she agrees to attend with heavy security. Meanwhile, Vasu, unaware that Vaani's and Karan's have escaped, orders one of his men to kill them for refusing to reveal the location of the tape.

Mohana arrives at the wedding under tight security. As she ascends the dais, the policemen assigned to protect her spot a suspicious man disguised as a godman. When they approach him, he flees but assaults a server, taking his place. After the wedding feast, Jeeva confronts Mohana and shoots her. Moments later, he is shot by the chief security officer in the ensuing chaos. Despite his injury, Jeeva sees Mohana attempting to escape through a glass exit. He throws an axe-like tool at the door, shattering the glass, which falls on Mohana, killing her. Jeeva is later brought to court, where the judge asks if he is responsible for the deaths of the inspector and Mohana. Jeeva asks the judge if responds by asking if figures like [[Krishna]], [[Vanchinathan]] and [[Bhagat Singh]] can be considered murderers.

Meanwhile, Karan finds Vasu and strangles him. The film ends with Karan being arrested and taken to jail."
Thuli Visham,[[A. S. A. Sami]],[[K. N. Dandayudhapani Pillai]],[[K. R. Ramasamy (actor)|K. R. Ramasamy]]<br />[[Sivaji Ganesan]]<br />[[Krishna Kumari (actress)|Krishna Kumari]],{{No plot|date=October 2022}}
Pattikada Pattanama,[[P. Madhavan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[J. Jayalalithaa|Jayalalithaa]],"Mookkaiyan belongs to a well-to-do family and lives in the village [[Sholavandan]]. He is held in high esteem by the villagers for his prowess. One day, his uncle Chockalingam, Chockalingam's wife Bama and their foreign-educated daughter Kalpana come to Sholavandan to participate in the [[Mariamman]] festival. Kalpana is fascinated by Mookaiyan's prowess; her mother disapproves of Kalpana's emotional reaction while her father is happy. Bama settles a young man of Madurai to marry Kalpana. Moved by the pleas of Chockalingam, Mookaiyan goes to the bridegroom's house and brings back Kalpana, saying that he has the right by birth to marry her.

Married life starts well for Mookaiyan and Kalpana, but before long differences arise because of their different backgrounds. At Kalpana's birthday party, Mookaiyan objects to drinking and dancing by her [[hippie]] friends. He beats Kalpana, and she leaves him to join her mother. A lawyer's notice for divorce is received. Mookaiyan futilely tries to make Bama understand the situation. The mother and daughter are adamant and Mookaiyan returns home determined to teach them a lesson.

Kalpana, having been impregnated by Mookaiyan some time earlier, gives birth to a child. In her anxiety to save Kalpana from further involvements, Bama leaves the child in an orphanage. Kalpana is shocked by this act of her mother. By the time she goes to recover the child, Mookaiyan has already taken it away. Kalpana beseeches her father to get the child from Mookaiyan. Unexpectedly, Mookaiyan comes there to deliver an invitation card for his marriage with his cousin Rakkamma. Kalpana and her parents are now repentant.

Kalpana goes alone to Mookaiyan's house and asks her husband to leap over their child and then tie the ''[[Mangala sutra|thali]]'' to another girl. To her surprise, Kalpana discovers that the marriage being celebrated is that of a different man named Mookaiyan, while her husband did no injustice to her; she falls at her husband's feet and the family reunites."
1969,Error,Error,Error,Error
1970,Error,Error,Error,Error
1993,Error,Error,Error,Error
1992,Error,Error,Error,Error
Vanangamudi,[[P. Pullayya]],[[G. Ramanathan]],[[Sivaji Ganesan]]<br />[[Savitri (actress)|Savitri]],{{No plot|date=May 2020}}
Pudhaiyal,[[Krishnan–Panju]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]],"{{more plot|date=October 2022}}
Parimalam and Durai meet and talk about how her father Kumaravadivu in Sri Lanka was implicated in her mother's murder and imprisoned. Padmini and her sister Thangam come to India, where the sister dies. It is believed that she drowned and her body lies under the sand. Vellaiambalam overhears the word ""Thangam"" (Tamil for gold) and believes a fortune is buried there."
Makkala Rajya,[[B. R. Panthulu]],[[T. G. Lingappa]],[[B. R. Panthulu]]<br />[[M. V. Rajamma]],"{{more plot|date=July 2022}}
A scientist takes children to an unknown planet, where they establish a democratic republic.<ref>{{Cite book |title=Routledge Handbook of Indian Cinemas |publisher=[[Routledge]] |year=2013 |isbn=978-1-136-77291-7 |editor-last=Gokulsing |editor-first=K. Moti |pages=290 |editor-last2=Dissanayake |editor-first2=Wimal}}</ref>"
Neethibathi,[[R. Krishnamoorthy]],[[Gangai Amaran]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]],"{{More plot|date=April 2023}}
Rajasekar is a skilled prosecutor with a wife named Radha, a police inspector son named Shankar, and a mute daughter named Geetha. Sattanathan is a defense attorney and a bitter professional rival of Rajasekar. He offers advice and guidance to Kalidas, the leader of a diamond smuggling gang. Rajasekar had earlier successfully argued for Kalidas's twin brother Ranjith to be hanged for his crimes, which had created animosity between them. Despite this, Rajasekar is appointed as a judge, bypassing Sattanathan. As a judge, Rajasekar sentences Kalidas's other brother Jagan to life imprisonment. This event triggers Sattanathan and Kalidas to plan to bring Rajasekar down.

Thyagu is a mechanic and car racer who is determined to build a large house for his imprisoned mother, Janaki. Janaki was a single mother who took the blame for a murder Thyagu committed as a child trying to protect her. Thyagu begins to work for Kalidas by driving getaway vehicles. He also falls in love with Devi, Sattanathan's daughter. When Devi learns of Thyagu's criminal activities, she convinces him to give up crime and start anew. However, just as he is ready to walk away from crime, Thyagu learns that his father, whom he believes abandoned Janaki, is none other than Rajasekar. This discovery enrages him, and he teams up with Kalidas and Sattanathan to destroy Rajasekar. Together, they plot to make Geetha's husband abandon her and have Shankar arrested on false charges. Meanwhile, Janaki is released from prison, and Rajasekar learns about the conspirators against him. He must now uncover deeply buried truths about his family and outsmart those against him."
Chiranjeevi (1984 film),[[K. Shankar]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Sripriya]]<br />[[Jai Ganesh]]<br />[[Sarath Babu]],"{{More plot|date=October 2023}}
Chiranjeevi is a singer cum technician on a cruise ship. A murder related to smuggling happens in the ship and it is up to him to find out who did it while protecting the only witness."
Kalvanin Kadhali (1955 film),[[V. S. Raghavan (director)|V. S. Raghavan]],[[G. Govindarajulu Naidu]]<br />[[Ghantasala (musician)|Ghantasala]],[[Sivaji Ganesan]]<br />[[P. Bhanumathi]],"{{more plot|date=October 2021}}
At the Poonkulam village, Kalyani and Muthayyan are lovers. Circumstances brand Muthayyan a [[Dacoity|dacoit]], but Kalyani remains steadfast in her love. Evading the police, Muthayyan leads the life of an exile in the forest. When things come to a head, Muthayyan and Kalyani decide to run away to some far-off place and settle down to marital bliss. Muthayyan's loyal friend Kamalapathi, a stage actor, makes all arrangements for their escape. In order to hoodwink the vigilant police inspector Shastri, Kamalapathi disguises himself as a woman and goes to the forest to meet Muthayyan and appraise him of the plans.

When Kalyani comes to the appointed place, she finds Muthayyan embracing another woman. Not realising that it is Kamalapathi whom Muthayyan is expressing his heartfelt thanks to, she suspects her lover's loyalty and runs away in a rage. Inspector Shastri, who is also in disguise, meets Kalyani at this juncture and enquires Muthayyan's whereabouts. Unthinking in her anger, Kalyani blurts out Muthayyan's location. Seeing Shastri run with his gun, Kalyani realises that he is a police officer, and runs after him. Muthayyan is shot dead by the police, and Kalyani commits suicide to reunite with him in death."
Vamsa Vilakku,[[R. Krishnamoorthy]],[[Gangai Amaran]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]]<br />[[Prabhu (actor)|Prabhu]]<br />[[M. N. Nambiar]],"{{More plot|date=May 2023}}
Sathyamoorthy lives with his police inspector son, Shankar, and pregnant daughter-in-law, Padma. Shankar attempts to arrest Jaganath and is killed in the process. Sathyam kills two of Jaganath's associates in retaliation and is now wanted by the police. As Padma also dies in childbirth, Sathyam takes his grandson Raja and goes on the run. He stumbles upon the attempted murder of a notorious smuggler Tiger Baba and rescues him. Tiger Baba takes Sathyam under his wing.

Sathyam, now a rich smuggler known as Chakravarthy, meets the widowed Thaaiyamma and asks her to care for Raja. Worried that his new lifestyle will impact his grandson, Chakravarthy asks Thaaiyamma to raise Raja in [[Coonoor]] isolated from him. The two reunite when Raja is an adult but he is still unaware of his grandfather's profession. Raja falls in love with Radha, a poor woman who fearless and stands for what is right. Chakravarthy is prejudiced against her poverty and opposes the marriage which sets Raja and Thaaiyamma against him. With Jaganath also re-entering their lives, Chakravarthy faces multiple challenges to avenge his son's murder and reunite with his grandson."
1967,Error,Error,Error,Error
Jeevana Teeralu,[[G. C. Sekhar]],[[K. Chakravarthy]],[[Krishnam Raju]]<br>[[Vanisri]]<br>[[Jayasudha]]<br>[[Sivaji Ganesan]]<br>[[Jaggayya]],Not Available
Yamanukku Yaman,[[D. Yoganand]],[[K. Chakravarthy]],[[Sivaji Ganesan]]<br />[[Sripriya]],"{{more plot|date=September 2021}}
Sathyamoorthy is the village panchayat president having won the election against local rich man Aarumugam. Sathyamoorthy is also in love with Savithri, Arumugam's daughter. Sathyamoorthy is a reformer and fights for the rights of the people, which pits him against Arumugam who has him killed. In heaven, Sathyamoorthy points out the hypocritical behaviour of [[Indra]]n and is sent to hell. He quickly organises [[Yama|Yaman]]'s workers to unionise and fight for their rights. He also convinces Yaman to go to Earth to take a break from his own duties. Convinced, Yaman allows Sathyamoorthy to return to Earth where he plans revenge against Aarumugam."
Rojavin Raja,[[K. Vijayan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Vanisri]],"{{more plot|date=September 2021}}
Raja is the poor son of a teacher. Gopal is his rich best friend that often helps him financially. Janaki is the only child of a rich man and falls in love with Raja. Her father objects as Raja is poor and arranges her marriage with Gopal. Raja is stuck between wanting to be with the woman he loves and his best friend's happiness."
Vetrikku Oruvan,[[S. P. Muthuraman]],[[Ilaiyaraaja]],[[Sivaji Ganesan]]<br />[[Sripriya]]<br />[[M. N. Nambiar]]<br />[[Mohan Babu]],"{{More plot|date=March 2023}}
Saravanan is a cowardly, mild mannered, honest and good son to his doting and loving father Rajaraman. Rajaraman goes so far to write love letters for him as Saravanan could not manage it on his own. He is in love with Radha who Madhan vies for. Madhan is a criminal who works for Ethirajulu, a secretive don who acts like a honest businessman to the society.

Rajaraman exposes him and raids his home and office in his capacity as tax officer. In anger, Ethirajulu gets Rajaraman murdered by Madhan. This comes as a wake up call to Saravanan who decides that he wants vengeance. He, with help from Radha, learns martial arts, prepares, does background research and then proceeds to systematically destroy Ethirajulu's empire and in the end, kills him and Madhan."
Vellai Roja,[[A. Jagannathan]],[[Ilaiyaraaja]],[[Sivaji Ganesan]]<br />[[Ambika (actress)|Ambika]]<br />[[Prabhu (actor)|Prabhu]]<br />[[Radha (actress)|Radha]],"{{More plot|date=February 2023}}
Father James is a [[Catholic priest]], well-respected by the entire town. Parisutham is a multimillionaire and head of the town. Peter who is the son of coffin maker Savaerimuthu is an angry young man, who always fights for justice and is against rich people. Peter's sister Mary and Parisutham's son Johnny are in love. Mary becomes pregnant and at that time Johnny has to leave the country for few days on business, so she asks Father James' help to arrange her marriage with Johnny because both Parisutham and Peter respect his words. But Peter's girlfriend Lakshmi overhears part of a conversation between James and Mary on her pregnancy and misunderstands that Father James and Mary were involved in a taboo relationship, and she tells Peter.

The next day, Mary is found hanging dead from a tree. Peter, in a fit of rage assaults Father James and gets arrested, but he escapes. Everyone thinks that Mary has committed suicide and she is buried without a postmortem. But Father James has a suspicion about Mary's death, so he asks his twin brother Arul, [[Superintendent of police (India)|Superintendent of Police]], to have the body exhumed to perform a postmortem. The next day when Arul exhumes Mary's coffin he finds Father James murdered and his dead body in it, with Mary's corpse missing. Everyone suspects Peter was the culprit, Arul immediately begins an investigation to solve the mystery behind Mary's missing dead body and Father James' death. Who is the culprit for Father James' murder, the motive, was Mary killed or did she commit suicide, why was her body missing and where is Johnny, forms the rest of the story."
Thangamalai Ragasiyam,[[B. R. Panthulu]],[[T. G. Lingappa]],[[Sivaji Ganesan]]<br />[[T. R. Rajakumari]]<br />[[Jamuna (actress)|Jamuna]],"{{more plot|date=July 2021}}
Gajendran, a prince, is separated from his parents by his father's foe at a very young age. He grew up as a ferocious and vicious caveman. He meets Amutha, who by her word of love and affection turns Gajendran for good. Both set out to find the secret of Thangamalai to find and save Gajendran's parents."
Gurudhakshaneiy,[[A. P. Nagarajan]],[[Pukazhenthi]]<br />[[K. V. Mahadevan]] (Supervisor),[[Sivaji Ganesan]]<br />[[J. Jayalalithaa|Jayalalithaa]]<br />[[Padmini (actress)|Padmini]]<br />[[K. Balaji]],"{{More plot|date=February 2023}}
Kannan is an uneducated, hardworking, village farmer who is known to be quick in anger. Kanni is his lover. To the village, comes Devaki who is a teacher. Jealous elements start to spread rumors about Kannan and Devaki much to the chagrin of her father. However, Devaki is already engaged to Vasudevan, whose opinion alone matters to Devaki. Kanni also trusts Kannan. In the climax, it is revealed that Kannan has been secretly getting educated unable to bear the shame of doing so in public. Vasudevan absolutely trusts Devaki even without questioning as does Kanni and everyone's doubts are cleared."
Kalyaniyin Kanavan,[[S. M. Sriramulu Naidu]],[[S. M. Subbaiah Naidu]],[[Sivaji Ganesan]]<br />[[B. Saroja Devi]],"{{More plot|date=January 2023}}
Kalyani goes swimming with friends in a river when she is carried away by a strong current. As she struggles, Kathiresan saves her, and they fall in love. Kalyani's father Viswanath is impressed by the young man's bravery and wishes to get them married on an auspicious day. Two days before the wedding, Kathiresan receives an anonymous letter inviting him to an abandoned bungalow. He goes and, in the cover of darkness, fights an anonymous foe. At the end of it, he finds at his feet a body with a knife sticking out of its back! He leaves the place hurriedly. The next morning, Kathiresan, shocking everyone, screams at the bride saying she is not of good conduct and refuses to go ahead with the wedding rituals. Meanwhile, police enter the scene, looking for the bridegroom who escapes. With the marriage stopped in a dramatic fashion, problems arise in the unhappy Viswanath's family. How they are solved and the marriage is performed forms the rest of the story."
Pattakkathi Bhairavan,[[V. B. Rajendra Prasad]],[[Ilaiyaraaja]],{{ubl|[[Sivaji Ganesan]]|[[Jayasudha]]|[[Sridevi]]}},"Arun and Malathi are the son and daughter of two rich businessmen and are lovers about to be married, when Arun tragically dies in a bike accident. Malathi later gives birth to a male child, fathered by Arun before his death. Malathi's father who fears for his family's reputation as the child was born out of wedlock, deceives Malathi that the child was stillborn and dumps the baby in a garbage bin. The child is discovered in the bin by a car driver Seenu and raised by him and his wife who are childless and they name the child Thangaraja. Seenu and his wife later have a daughter of their own.

Thangaraja grows up with an angry temperament and gets infuriated when berated by other children who call him 'kuppai thotti' (garbage bin) referring to where he was found as a baby. Once he badly beats up the son of his father's boss Dharmalingam after such an insult and fearing punishment, runs away from home, never to be found by his parents.

Time passes and Thangaraja turns up in his adulthood as Pattakkathi Bhairavan, a notorious criminal sought by the police for several murders which he commits using his customary pattakkathi (gauntlet-sword). He takes orders for his crimes from a mysterious man called the 'boss'. During one such criminal assignment, he is tasked by his boss to kill a child but can't go through with it and when he tries to return the child back to its mother, he gets arrested. When in jail, he encounters his adopted father Seenu and learns how Seenu's boss Dharmalingam had ruined his adopted family. After escaping from prison, he finds out that Dharmalingam is the same man known as the 'boss' whom he works for and murders him. While fleeing after the murder he has a chance encounter with Malathi, who is stunned by his resemblance to Arun.

As the Police launch a manhunt for him, Bhairavan camouflages himself as Karnan, a rich businessman to deceive the Police and also is reunited with his step-sister Deepa. Deepa's close friend Roopa is Bhairavan's romantic interest, but in a twist, Deepa herself is in love with police officer Arjunan, who is the son of Malathi and her police officer husband whom she had married after Arun's demise. Arjunan is actually on a mission to find and eliminate the elusive Pattakkathi Bhairavan. Bhairavan approaches and interacts with Arjunan quite convincingly masquerading as businessman Karnan, but Malathi recognises Bhairavan/Karnan as none other than her own first son whom she had borne out of wedlock, but struggles to tell him the truth, since he professes a profound hatred for his unknown mother, who he believes had dumped him in a garbage bin as a baby. Meanwhile, tipped off by a jail superindentent familiar with Bhairavan, Arjunan and his father begin to suspect Karnan's identity. How the events unfold form the rest of the story."
Pachhai Vilakku (1964 film),[[A. Bhimsingh]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[Sowcar Janaki]]<br />[[S. S. Rajendran]]<br />[[C. R. Vijayakumari]],{{No plot|date=May 2021}}
